Artist Name,Artist ID,Artist_Popularity,Artist_Followers,Artist Genre
Eurythmics,0NKDgy9j66h3DLnN8qu1bB,72.0,1016633.0,"dance pop,dance rock,europop,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,synthpop"
The Mamas and the Papas,1bs7HoMkSyQwcobCpE9KpN,69.0,867472.0,"brill building pop,bubblegum pop,classic rock,folk,folk rock,mellow gold,psychedelic rock,rock,soft rock,sunshine pop"
Joe Cocker,3pFCERyEiP5xeN2EsPXhjI,71.0,1163333.0,"blues rock,classic rock,folk rock,mellow gold,rock,soft rock"
Stereolab,3Rj0tDHoX7C5NFq5DKIpHt,56.0,154241.0,"alternative rock,art pop,art rock,chamber psych,dance rock,dance-punk,electronica,experimental,freak folk,indie pop,lo-fi,neo-psychedelic,new rave,new wave,noise pop,slow core"
Super Furry Animals,0FOcXqJgJ1oq9XfzYTDZmZ,48.0,76612.0,"alternative rock,britpop,chamber psych,welsh indie,welsh rock"
Liz Phair,2LXeJdQVcFkhkWydphLI74,51.0,94402.0,"alternative pop,alternative rock,anti-folk,candy pop,folk,lilith,new wave pop,permanent wave,pop rock"
The Impressions,1b1N51wmSK0ckxFAMPSSHO,54.0,155860.0,"brill building pop,chicago soul,classic soul,funk,motown,quiet storm,rhythm and blues,soul"
Faith No More,6GbCJZrI318Ybm8mY36Of5,67.0,1086314.0,"alternative metal,alternative rock,funk metal,funk rock,hard rock,nu metal,post-grunge,rap metal,rock"
Wayne Shorter,0ZqhrTXYPA9DZR527ZnFdO,52.0,128226.0,"avant-garde jazz,bebop,contemporary jazz,contemporary post-bop,cool jazz,free jazz,hard bop,jazz,jazz funk,jazz fusion,jazz saxophone,soul jazz,vocal jazz"
Del Shannon,3c8WoNjBfyLJhFObE6RHgs,54.0,151328.0,"adult standards,brill building pop,bubblegum pop,doo-wop,folk rock,merseybeat,rock-and-roll,rockabilly"
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,80.0,2689267.0,"album rock,classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock"
Boston,29kkCKKGXheHuoO829FxWK,72.0,1441340.0,"album rock,art rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock"
Blue Oyster Cult,00tVTdpEhQQw1bqdu8RCx2,68.0,878636.0,"album rock,art rock,blues rock,classic rock,hard rock,metal,psychedelic rock,rock,soft rock"
The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,52.0,148922.0,"alternative rock,anti-folk,canadian indie,indie pop,indie rock,modern power pop,modern rock,stomp and holler,vancouver indie"
Glen Campbell,59hLmB5DrdihCYtNeFeW1U,66.0,235682.0,"adult standards,arkansas country,brill building pop,bubblegum pop,classic country pop,folk,folk rock,lounge,mellow gold,nashville sound,soft rock,traditional folk"
Dave Brubeck,3kUKwTJdH8FuWzF8p6Dg9E,56.0,260233.0,"american modern classical,bebop,cool jazz,jazz,jazz piano"
The LA's,6brxwggDm8Er0hBtxO0JrW,58.0,635.0,
Booker T. & The MG's,2vDV0T8sxx2ENnKXds75e5,60.0,162615.0,"classic soul,funk,instrumental funk,instrumental soul,memphis soul,soul,southern soul"
The Lovin' Spoonful,7CCn4PFRRRZF127jtCBAUe,61.0,266392.0,"brill building pop,bubblegum pop,classic rock,country rock,folk,folk rock,mellow gold,merseybeat,psychedelic rock,rock,rock-and-roll,roots rock,soft rock,traditional folk"
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,84.0,9277070.0,"garage rock,modern rock,permanent wave,rock,sheffield indie"
Soft Cell,6aq8T2RcspxVOGgMrTzjWc,66.0,363022.0,"dance rock,new romantic,new wave,new wave pop,synthpop"
Bob Seger,485uL27bPomh29R4JmQehQ,73.0,973481.0,"album rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,soft rock"
Ryan Adams,2qc41rNTtdLK0tV3mJn2Pm,63.0,486428.0,"alternative country,folk,neo mellow,new americana,pop rock,roots rock,singer-songwriter,stomp and holler"
Slayer,1IQ2e1buppatiN1bxUVkrk,68.0,2119497.0,"alternative metal,death metal,hard rock,metal,nu metal,old school thrash,rock,speed metal,thrash metal"
The Zombies,2jgPkn6LuUazBoBk6vvjh5,64.0,529244.0,"art rock,baroque pop,brill building pop,british invasion,bubblegum pop,classic rock,folk rock,psychedelic rock,rock,roots rock"
